clave,nombre,programa_clave,trimestre,tipo,creditos,area_nombre,area_descripcion,url
1431046,Calidad,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1431048,Normalización y Estandarización,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403014,Diseño e Innovación,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1431047,Planeación de la Producción,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403005,Creatividad para el Diseño,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403019,Geometría para el Diseño,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403021,Investigación y Diseño,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1432020,Identificación y Selección de Nuevos Materiales,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1432021,Diseño Digital para la Producción,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1432022,Diseño de Herramental para la Producción,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403013,Diseño del Envase y Embalaje,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1403029,Redacción y Documentación Científica,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1431049,Ergonomía Laboral,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1435014,Tendencias en el Diseño y Desarrollo de Accesorios Ornamentales Corporales,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1435015,Accesibilidad y Habitabilidad del Espacio,DI,VII-X,OPT,,Optativas de interés profesional,Área de concentración: DI,
1401020,Aplicación de Sistemas de Unión por Soldadura en Estructuras Metálicas,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1401029,Aplicación de los Plásticos en Arquitectura,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1401056,Desarrollo Sustentable y Diseño,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1424052,Punto de Venta y Stand,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1424032,Serigrafía,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1424054,Escenografía,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1432015,Diseño de Interfaz,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1424049,Diseño de la Marca,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1424024,Aerografía,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1435013,Ciclo de Vida en los Materiales,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1425022,Marketing y Publicidad Digital,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1425026,Color para Arquitectos y Diseñadores Industriales,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1425025,Infografía para Arquitectos y Diseñadores Industriales,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1401050,Fotografía Básica para Arquitectura,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas Disciplinares,
1404004,Diálogos con la Música,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1404006,Escultura,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1404007,Estética y Diseño,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1432018,Filosofía del Diseño,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1404009,"Literatura, Cine y Diseño",DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1404010,Oralidad y Escritura para Diseñadores,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1425024,Diseño y Estudios de Género,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1425023,Fortalezas para el Emprendedor,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1415035,Diseñar para el Desarrollo Sostenible,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1435016,Creatividad para Arquitectos y Diseñadores,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1401018,Historia del Arte,DI,VII-X,OPT,,Optativas de Extensión Divisional,Optativas de Formación Integral,
1401011,Prácticas Profesionales I,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Práctica Profesional,
1401012,Prácticas Profesionales II,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Práctica Profesional,
1402048,Movilidad  I,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1402049,Movilidad  II,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1435017,Movilidad  III,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1435018,Movilidad  IV,DI,VII-XII,OPT,,Optativas de Extensión Universitaria,Optativas de Movilidad,
1400027,FUNDAMENTOS TEÓRICOS DEL DISEÑO I,DiPS,1,OBL,,Licenciatura,Licenciatura,
